1395371728.746610, 0.305165
1395371821.881260, 0.000000
1395371855.121490, 0.145780
1395371889.880710, 1.249820
1395371922.483060, 4.328680
1395371954.173160, 7.275380
1395371985.833310, 10.463100
1395372017.323790, 13.732400
1395372049.007840, 16.904600
1395372080.513790, 20.072900
1395372112.207890, 23.420000
1395372143.713780, 26.736000
1395372175.424130, 29.939200
1395372206.920900, 33.220300
1395372238.636720, 36.470200
1395372271.063780, 35.366100
1395372302.736790, 31.548700
1395372334.203310, 27.571800
1395372365.865020, 23.820400
1395372397.339780, 19.936800
1395372429.021640, 16.146600
1395372460.514500, 12.220200
1395372492.196230, 8.239460
1395372524.418880, 4.394770
1395372556.511170, 7.018800
1395372588.120610, 10.183200
1395372619.797850, 13.553600
1395372651.415310, 16.908500
1395372683.231990, 20.395500
1395372714.836700, 24.092500
1395372746.526820, 27.326900
1395372778.127590, 30.701200
1395372809.825590, 34.262100
1395372842.161290, 36.478000
1395372874.150240, 33.204700
1395372905.625490, 29.235600
1395372937.299840, 25.079900
1395372968.783450, 21.278000
1395373000.462890, 17.596600
1395373031.950840, 13.763500
1395373063.635500, 9.802220
1395373095.142180, 5.782590
1395373127.877590, 5.156710
1395373159.612730, 8.286110
1395373191.298190, 11.326100
1395373222.812010, 14.813200
1395373254.614010, 18.486800
1395373286.134060, 22.179900
1395373317.982910, 25.764100
1395373349.497530, 29.087900
1395373381.291260, 32.190100
1395373412.810060, 35.579900
1395373445.451420, 34.996800
1395373477.122040, 31.299900
1395373508.822270, 27.486300
1395373540.309330, 23.241200
1395373571.991060, 19.256500
1395373603.489900, 15.516800
1395373635.185730, 11.695400
1395373666.671480, 7.784630
1395373699.043270, 3.570630
1395373731.075470, 6.019730
1395373762.874240, 8.865350
1395373794.376190, 11.753700
1395373826.181340, 15.104700
1395373857.689820, 18.486800
1395373889.492980, 22.199300
1395373921.002840, 26.071200
1395373952.801420, 29.496100
1395373984.314820, 33.002600
1395374016.639010, 36.649000
1395374048.461610, 34.370900
1395374080.225680, 30.957800
1395374111.705900, 27.455200
1395374144.011660, 23.863200
1395374175.497280, 20.247800
1395374207.103120, 16.616900
1395374238.587130, 12.791700
1395374270.187070, 8.888670
1395374301.688110, 5.047860
1395374334.439030, 5.354970
1395374366.071900, 8.445500
1395374397.767030, 11.598200
1395374429.276730, 14.867600
1395374460.878540, 18.350700
1395374492.582670, 22.113800
1395374524.185030, 25.647500
1395374555.691410, 28.982900
1395374587.327760, 32.186200
1395374618.865200, 35.708200
1395374651.355930, 34.985200
1395374683.031590, 31.319300
1395374714.624510, 27.595100
1395374746.133120, 23.486100
1395374777.721310, 19.656900
1395374809.217010, 15.746100
1395374840.813200, 11.641000
1395374872.307460, 7.842940
1395374904.556150, 4.064340
1395374936.562320, 6.618400
1395374968.269410, 9.720590
1395374999.862000, 12.593400
1395375031.484280, 15.940500
1395375062.993190, 19.334300
1395375094.629490, 22.483100
1395375126.136990, 25.876900
1395375157.757970, 29.068500
1395375189.287200, 32.322300
1395375220.930110, 35.828700
1395375253.330660, 36.481800
1395375285.097530, 32.446700
1395375316.590610, 28.465900
1395375348.179380, 24.594000
1395375379.669710, 20.761000
1395375411.273190, 16.943500
1395375442.776860, 13.238700
1395375474.373870, 9.188000
1395375505.875370, 5.238350
1395375538.618870, 5.627090
1395375570.240910, 8.340540
1395375601.932800, 11.536000
1395375633.426120, 14.762600
1395375665.085080, 18.218600
1395375696.616700, 21.659000
1395375728.225860, 25.208200
1395375759.744350, 28.411500
1395375791.362700, 31.626400
1395375822.874880, 34.856900
1395375855.194610, 37.263200
1395375886.928650, 34.172700
1395375918.531130, 30.518500
1395375950.013790, 26.716500
1395375981.585940, 22.572500
1395376013.073760, 18.475100
1395376044.679720, 14.855900
1395376076.189300, 10.719700
1395376107.828740, 6.637830
1395376140.469540, 4.270370
1395376172.095280, 7.201510
1395376203.715390, 10.062700
1395376235.300290, 13.052100
1395376266.914920, 16.395300
1395376298.707060, 19.804600
1395376330.329160, 23.295600
1395376361.933900, 26.164500
1395376393.550870, 29.558300
1395376425.150150, 33.165800
1395376456.778380, 37.049400
1395376489.352910, 36.684000
1395376521.066650, 32.952000
1395376552.658390, 29.344500
1395376584.145630, 25.422000
1395376615.719910, 21.254700
1395376647.207000, 17.643200
1395376678.798460, 13.534200
1395376710.296750, 9.506780
1395376741.986850, 5.595990
1395376774.512390, 5.036200
1395376806.156650, 8.080080
1395376837.664730, 11.182300
1395376869.273040, 14.354400
1395376900.879910, 17.822000
1395376932.478910, 21.250800
1395376964.094090, 24.551200
1395376995.712220, 28.143200
1395377027.304930, 32.100700
1395377058.946660, 35.700500
1395377091.507320, 36.812300
1395377123.173650, 33.356300
1395377154.666750, 29.772100
1395377186.263400, 25.810800
1395377217.751560, 21.802800
1395377249.339360, 18.129200
1395377280.824280, 14.191200
1395377312.414830, 10.222100
1395377344.003360, 6.540650
1395377376.654720, 4.332570
1395377408.269590, 7.248160
1395377439.883510, 10.276500
1395377471.378720, 13.409800
1395377503.096740, 16.632500
1395377534.594970, 20.065100
1395377566.307620, 23.769900
1395377597.816960, 27.078100
1395377629.520780, 30.156900
1395377661.044830, 33.671200
1395377692.864040, 37.154400
1395377725.310730, 36.509100
1395377757.020900, 33.041400
1395377788.509700, 29.130700
1395377820.135800, 25.138200
1395377851.631620, 21.068100
1395377883.211400, 17.188400
1395377914.699490, 13.297000
1395377946.395390, 9.362940
1395377977.901670, 5.716510
1395378010.521270, 5.180040
1395378042.166990, 8.255010
1395378073.767300, 11.388300
1395378105.447140, 14.747100
