1393858556.107820,nan,nan,nan,nan,nan
1393858639.675450,nan,nan,nan,nan,nan
1393858669.427220,nan,nan,nan,nan,nan
1393858674.420930,nan,nan,nan,nan,nan
1393858708.146300,nan,nan,nan,nan,nan
1393858723.304530,5.142070,21.866500,0.245000,nan,nan
1393858731.488010,nan,nan,nan,nan,nan
1393858736.198430,5.141930,21.863900,0.377000,nan,nan
1393858740.565800,nan,nan,nan,nan,nan
1393858749.632810,5.141900,21.864800,0.463000,nan,nan
1393858754.214020,nan,nan,nan,nan,nan
1393858761.186680,5.141790,21.855700,0.566000,nan,nan
1393858772.268220,nan,nan,nan,nan,nan
1393858773.610570,5.141820,21.847900,0.627000,nan,nan
1393858786.242650,5.141900,21.849900,0.712000,nan,nan
1393858794.815340,nan,nan,nan,nan,nan
1393858800.190580,5.142010,21.851900,0.762000,nan,nan
1393858803.884670,nan,nan,nan,nan,nan
1393858812.632970,5.142050,21.851500,0.850000,nan,nan
1393858826.409240,5.141820,21.846900,0.941000,nan,nan
1393858835.482120,nan,nan,nan,nan,nan
1393858839.662290,5.141110,21.844100,1.013000,nan,nan
1393858852.355160,5.141040,21.841000,1.077000,nan,nan
1393858858.034000,nan,nan,nan,nan,nan
1393858864.931670,5.140030,21.834100,1.136000,nan,nan
1393858867.153870,nan,nan,nan,nan,nan
1393858877.456970,5.139220,21.835200,1.249000,nan,nan
1393858890.144380,5.139190,21.834300,1.309000,nan,nan
1393858894.165190,nan,nan,nan,nan,nan
1393858898.750400,nan,nan,nan,nan,nan
1393858902.606450,5.139020,21.835900,1.395000,nan,nan
1393858915.792630,5.138680,21.833300,1.522000,nan,nan
1393858921.276430,nan,nan,nan,nan,nan
1393858928.339940,5.138920,21.836700,1.605000,nan,nan
1393858930.341090,nan,nan,nan,nan,nan
1393858941.128970,5.138970,21.834500,1.689000,nan,nan
1393858953.433070,5.138640,21.824400,1.780000,nan,nan
1393858957.373930,nan,nan,nan,nan,nan
1393858961.950010,nan,nan,nan,nan,nan
1393858967.077610,5.137060,21.813200,1.890000,nan,nan
1393858979.578700,5.137020,21.820900,1.957000,nan,nan
1393858984.470210,nan,nan,nan,nan,nan
1393858992.055660,5.137720,21.824900,2.055000,nan,nan
1393858993.534730,nan,nan,nan,nan,nan
1393859004.436460,5.137800,21.827700,2.130000,nan,nan
1393859020.570470,5.137550,21.816100,2.242000,nan,nan
1393859025.147280,nan,nan,nan,nan,nan
1393859033.781920,5.133990,21.766400,2.313000,nan,nan
1393859046.292790,5.133760,21.755600,2.402000,nan,nan
1393859047.694340,nan,nan,nan,nan,nan
1393859056.784940,nan,nan,nan,28.947686,-80.321008
1393859061.937620,5.134400,21.750700,2.489000,nan,nan
1393859075.653720,5.134070,21.734200,2.620000,nan,nan
1393859083.876280,nan,nan,nan,nan,nan
1393859088.456270,5.130940,21.728900,2.706000,nan,nan
1393859100.975430,5.128750,21.684600,2.795000,nan,nan
1393859110.999970,nan,nan,nan,nan,nan
1393859113.529020,5.126730,21.626200,2.901000,nan,nan
1393859120.083440,nan,nan,nan,nan,nan
1393859126.062870,5.119390,21.573200,2.975000,nan,nan
1393859138.654450,5.103550,21.406100,3.068000,nan,nan
1393859147.488100,nan,nan,nan,nan,nan
1393859152.170320,5.094590,21.329700,3.113000,nan,nan
1393859161.931090,nan,nan,nan,nan,nan
1393859174.814610,nan,nan,nan,nan,nan
1393859184.181610,nan,nan,nan,nan,nan
1393859215.675450,nan,nan,nan,nan,nan
1393859238.208470,nan,nan,nan,nan,nan
